eps,hp_idx,accuracy
None,0,0.3767
None,1,0.2634
None,2,0.396
None,3,0.2272
None,4,0.4276
None,5,0.2276
None,6,0.6367
None,7,0.4744
None,8,0.6472
None,9,0.533
None,10,0.3979
None,11,0.4292
None,12,0.4269
None,13,0.4667
None,14,0.4626
None,15,0.4812
None,16,0.625
None,17,0.6526
None,18,0.6345
None,19,0.6473
None,20,0.3835
None,21,0.444
None,22,0.3964
None,23,0.4519
None,24,0.4313
None,25,0.4836
None,26,0.5979
None,27,0.6747
None,28,0.6008
None,29,0.6656
None,30,0.1969
None,31,0.2619
None,32,0.1384
None,33,0.2477
None,34,0.1442
None,35,0.2761
None,36,0.2532
None,37,0.4161
None,38,0.2596
None,39,0.4159
None,40,0.0781
None,41,0.1288
None,42,0.1205
None,43,0.1668
None,44,0.102
None,45,0.1556
None,46,0.1472
None,47,0.3013
None,48,0.2067
None,49,0.2959
None,50,0.1022
None,51,0.0977
None,52,0.0988
None,53,0.1216
None,54,0.1014
None,55,0.1129
None,56,0.1082
None,57,0.0956
None,58,0.0648
None,59,0.0998
None,60,0.0713
None,61,0.1082
None,62,0.1014
None,63,0.105
None,64,0.1001
None,65,0.1021
None,66,0.057
None,67,0.1087
None,68,0.1297
None,69,0.1049
None,70,0.0986
None,71,0.0956
None,72,0.0885
None,73,0.0528
None,74,0.0947
None,75,0.0962
None,76,0.0886
None,77,0.0823
None,78,0.1478
None,79,0.1172
None,80,0.0699
None,81,0.0877
None,82,0.1132
None,83,0.097
None,84,0.1
None,85,0.1118
None,86,0.0905
None,87,0.0937
None,88,0.1028
None,89,0.1036
None,90,0.0903
None,91,0.1067
None,92,0.0969
None,93,0.0968
None,94,0.1178
None,95,0.1112
None,96,0.1048
None,97,0.0973
None,98,0.0839
None,99,0.0883
